ID,Nome,Sprite,Type1,Type2,HP,Attack,Defense,Special Attack,Special Defense,Speed
219,magcargo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png,fire,rock,60,50,120,90,80,30
220,swinub,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png,ice,ground,50,50,40,30,30,50
221,piloswine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png,ice,ground,100,100,80,60,60,50
222,corsola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png,water,rock,65,55,95,65,95,35
223,remoraid,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png,water,,35,65,35,65,35,65
224,octillery,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png,water,,75,105,75,105,75,45
225,delibird,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png,ice,flying,45,55,45,65,45,75
226,mantine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png,water,flying,85,40,70,80,140,70
227,skarmory,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png,steel,flying,65,80,140,40,70,70
228,houndour,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png,dark,fire,45,60,30,80,50,65
229,houndoom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png,dark,fire,75,90,50,110,80,95
230,kingdra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png,water,dragon,75,95,95,95,95,85
231,phanpy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png,ground,,90,60,60,40,40,40
232,donphan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png,ground,,90,120,120,60,60,50
233,porygon2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png,normal,,85,80,90,105,95,60
234,stantler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png,normal,,73,95,62,85,65,85
235,smeargle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png,normal,,55,20,35,20,45,75
236,tyrogue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png,fighting,,35,35,35,35,35,35
237,hitmontop,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png,fighting,,50,95,95,35,110,70
238,smoochum,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png,ice,psychic,45,30,15,85,65,65
239,elekid,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png,electric,,45,63,37,65,55,95
240,magby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png,fire,,45,75,37,70,55,83
241,miltank,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png,normal,,95,80,105,40,70,100
242,blissey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png,normal,,255,10,10,75,135,55
243,raikou,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png,electric,,90,85,75,115,100,115
244,entei,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png,fire,,115,115,85,90,75,100
245,suicune,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png,water,,100,75,115,90,115,85
246,larvitar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png,rock,ground,50,64,50,45,50,41
247,pupitar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png,rock,ground,70,84,70,65,70,51
248,tyranitar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png,rock,dark,100,134,110,95,100,61
249,lugia,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png,psychic,flying,106,90,130,90,154,110
250,ho-oh,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png,fire,flying,106,130,90,110,154,90
251,celebi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png,psychic,grass,100,100,100,100,100,100
252,treecko,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png,grass,,40,45,35,65,55,70
253,grovyle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png,grass,,50,65,45,85,65,95
254,sceptile,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png,grass,,70,85,65,105,85,120
255,torchic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png,fire,,45,60,40,70,50,45
256,combusken,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,fire,fighting,60,85,60,85,60,55
257,blaziken,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png,fire,fighting,80,120,70,110,70,80
258,mudkip,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png,water,,50,70,50,50,50,40
259,marshtomp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png,water,ground,70,85,70,60,70,50
260,swampert,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png,water,ground,100,110,90,85,90,60
261,poochyena,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png,dark,,35,55,35,30,30,35
262,mightyena,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png,dark,,70,90,70,60,60,70
263,zigzagoon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png,normal,,38,30,41,30,41,60
264,linoone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png,normal,,78,70,61,50,61,100
265,wurmple,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png,bug,,45,45,35,20,30,20
266,silcoon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png,bug,,50,35,55,25,25,15
267,beautifly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png,bug,flying,60,70,50,100,50,65
268,cascoon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png,bug,,50,35,55,25,25,15
269,dustox,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png,bug,poison,60,50,70,50,90,65
270,lotad,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png,water,grass,40,30,30,40,50,30
271,lombre,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png,water,grass,60,50,50,60,70,50
272,ludicolo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png,water,grass,80,70,70,90,100,70
273,seedot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png,grass,,40,40,50,30,30,30
274,nuzleaf,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png,grass,dark,70,70,40,60,40,60
275,shiftry,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png,grass,dark,90,100,60,90,60,80
276,taillow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png,normal,flying,40,55,30,30,30,85
277,swellow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png,normal,flying,60,85,60,75,50,125
278,wingull,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png,water,flying,40,30,30,55,30,85
279,pelipper,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png,water,flying,60,50,100,95,70,65
280,ralts,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png,psychic,fairy,28,25,25,45,35,40
281,kirlia,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png,psychic,fairy,38,35,35,65,55,50
282,gardevoir,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png,psychic,fairy,68,65,65,125,115,80
283,surskit,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png,bug,water,40,30,32,50,52,65
284,masquerain,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png,bug,flying,70,60,62,100,82,80
285,shroomish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png,grass,,60,40,60,40,60,35
286,breloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png,grass,fighting,60,130,80,60,60,70
287,slakoth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png,normal,,60,60,60,35,35,30
288,vigoroth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png,normal,,80,80,80,55,55,90
289,slaking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png,normal,,150,160,100,95,65,100
290,nincada,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,bug,ground,31,45,90,30,30,40
291,ninjask,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png,bug,flying,61,90,45,50,50,160
292,shedinja,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png,bug,ghost,1,90,45,30,30,40
293,whismur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,normal,,64,51,23,51,23,28
294,loudred,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,normal,,84,71,43,71,43,48
295,exploud,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png,normal,,104,91,63,91,73,68
296,makuhita,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,fighting,,72,60,30,20,30,25
297,hariyama,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png,fighting,,144,120,60,40,60,50
298,azurill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png,normal,fairy,50,20,40,20,40,20
299,nosepass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png,rock,,30,45,135,45,90,30
300,skitty,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png,normal,,50,45,45,35,35,50
301,delcatty,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,normal,,70,65,65,55,55,90
302,sableye,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png,dark,ghost,50,75,75,65,65,50
303,mawile,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png,steel,fairy,50,85,85,55,55,50
304,aron,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png,steel,rock,50,70,100,40,40,30
305,lairon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png,steel,rock,60,90,140,50,50,40
306,aggron,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png,steel,rock,70,110,180,60,60,50
307,meditite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,fighting,psychic,30,40,55,40,55,60
308,medicham,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png,fighting,psychic,60,60,75,60,75,80
309,electrike,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png,electric,,40,45,40,65,40,65
310,manectric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png,electric,,70,75,60,105,60,105
311,plusle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png,electric,,60,50,40,85,75,95
312,minun,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png,electric,,60,40,50,75,85,95
313,volbeat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png,bug,,65,73,75,47,85,85
314,illumise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png,bug,,65,47,75,73,85,85
315,roselia,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png,grass,poison,50,60,45,100,80,65
316,gulpin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png,poison,,70,43,53,43,53,40
317,swalot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png,poison,,100,73,83,73,83,55
318,carvanha,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png,water,dark,45,90,20,65,20,65
319,sharpedo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png,water,dark,70,120,40,95,40,95
320,wailmer,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png,water,,130,70,35,70,35,60
321,wailord,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png,water,,170,90,45,90,45,60
322,numel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png,fire,ground,60,60,40,65,45,35
323,camerupt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png,fire,ground,70,100,70,105,75,40
324,torkoal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png,fire,,70,85,140,85,70,20
325,spoink,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png,psychic,,60,25,35,70,80,60
326,grumpig,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png,psychic,,80,45,65,90,110,80
327,spinda,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png,normal,,60,60,60,60,60,60
328,trapinch,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png,ground,,45,100,45,45,45,10
329,vibrava,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png,ground,dragon,50,70,50,50,50,70
330,flygon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png,ground,dragon,80,100,80,80,80,100
331,cacnea,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png,grass,,50,85,40,85,40,35
332,cacturne,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png,grass,dark,70,115,60,115,60,55
333,swablu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png,normal,flying,45,40,60,40,75,50
334,altaria,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png,dragon,flying,75,70,90,70,105,80
335,zangoose,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png,normal,,73,115,60,60,60,90
336,seviper,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png,poison,,73,100,60,100,60,65
337,lunatone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png,rock,psychic,90,55,65,95,85,70
338,solrock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png,rock,psychic,90,95,85,55,65,70
339,barboach,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png,water,ground,50,48,43,46,41,60
340,whiscash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png,water,ground,110,78,73,76,71,60
341,corphish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png,water,,43,80,65,50,35,35
342,crawdaunt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png,water,dark,63,120,85,90,55,55
343,baltoy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png,ground,psychic,40,40,55,40,70,55
344,claydol,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png,ground,psychic,60,70,105,70,120,75
345,lileep,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png,rock,grass,66,41,77,61,87,23
346,cradily,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png,rock,grass,86,81,97,81,107,43
347,anorith,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png,rock,bug,45,95,50,40,50,75
348,armaldo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png,rock,bug,75,125,100,70,80,45
349,feebas,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png,water,,20,15,20,10,55,80
350,milotic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png,water,,95,60,79,100,125,81
351,castform,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png,normal,,70,70,70,70,70,70
352,kecleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png,normal,,60,90,70,60,120,40
353,shuppet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png,ghost,,44,75,35,63,33,45
354,banette,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png,ghost,,64,115,65,83,63,65
355,duskull,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png,ghost,,20,40,90,30,90,25
356,dusclops,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png,ghost,,40,70,130,60,130,25
357,tropius,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png,grass,flying,99,68,83,72,87,51
358,chimecho,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png,psychic,,75,50,80,95,90,65
359,absol,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png,dark,,65,130,60,75,60,75
360,wynaut,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png,psychic,,95,23,48,23,48,23
361,snorunt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png,ice,,50,50,50,50,50,50
362,glalie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png,ice,,80,80,80,80,80,80
363,spheal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png,ice,water,70,40,50,55,50,25
364,sealeo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png,ice,water,90,60,70,75,70,45
365,walrein,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png,ice,water,110,80,90,95,90,65
366,clamperl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png,water,,35,64,85,74,55,32
367,huntail,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png,water,,55,104,105,94,75,52
368,gorebyss,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png,water,,55,84,105,114,75,52
369,relicanth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png,water,rock,100,90,130,45,65,55
370,luvdisc,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png,water,,43,30,55,40,65,97
371,bagon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png,dragon,,45,75,60,40,30,50
372,shelgon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png,dragon,,65,95,100,60,50,50
373,salamence,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png,dragon,flying,95,135,80,110,80,100
374,beldum,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png,steel,psychic,40,55,80,35,60,30
375,metang,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/375.png,steel,psychic,60,75,100,55,80,50
376,metagross,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/376.png,steel,psychic,80,135,130,95,90,70
377,regirock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png,rock,,80,100,200,50,100,50
378,regice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/378.png,ice,,80,50,100,100,200,50
379,registeel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/379.png,steel,,80,75,150,75,150,50
380,latias,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/380.png,dragon,psychic,80,80,90,110,130,110
381,latios,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/381.png,dragon,psychic,80,90,80,130,110,110
382,kyogre,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/382.png,water,,100,100,90,150,140,90
383,groudon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/383.png,ground,,100,150,140,100,90,90
384,rayquaza,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/384.png,dragon,flying,105,150,90,150,90,95
385,jirachi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/385.png,steel,psychic,100,100,100,100,100,100
386,deoxys-normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/386.png,psychic,,50,150,50,150,50,150
387,turtwig,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/387.png,grass,,55,68,64,45,55,31
388,grotle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/388.png,grass,,75,89,85,55,65,36
389,torterra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/389.png,grass,ground,95,109,105,75,85,56
390,chimchar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/390.png,fire,,44,58,44,58,44,61
391,monferno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/391.png,fire,fighting,64,78,52,78,52,81
392,infernape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/392.png,fire,fighting,76,104,71,104,71,108
393,piplup,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/393.png,water,,53,51,53,61,56,40
394,prinplup,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/394.png,water,,64,66,68,81,76,50
395,empoleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/395.png,water,steel,84,86,88,111,101,60
396,starly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/396.png,normal,flying,40,55,30,30,30,60
397,staravia,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/397.png,normal,flying,55,75,50,40,40,80
398,staraptor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/398.png,normal,flying,85,120,70,50,60,100
399,bidoof,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/399.png,normal,,59,45,40,35,40,31
400,bibarel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/400.png,normal,water,79,85,60,55,60,71
401,kricketot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/401.png,bug,,37,25,41,25,41,25
402,kricketune,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/402.png,bug,,77,85,51,55,51,65
403,shinx,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/403.png,electric,,45,65,34,40,34,45
404,luxio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/404.png,electric,,60,85,49,60,49,60
405,luxray,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/405.png,electric,,80,120,79,95,79,70
406,budew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/406.png,grass,poison,40,30,35,50,70,55
407,roserade,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/407.png,grass,poison,60,70,65,125,105,90
408,cranidos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/408.png,rock,,67,125,40,30,30,58
409,rampardos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/409.png,rock,,97,165,60,65,50,58
410,shieldon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/410.png,rock,steel,30,42,118,42,88,30
411,bastiodon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/411.png,rock,steel,60,52,168,47,138,30
412,burmy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/412.png,bug,,40,29,45,29,45,36
413,wormadam-plant,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/413.png,bug,grass,60,59,85,79,105,36
414,mothim,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/414.png,bug,flying,70,94,50,94,50,66
415,combee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/415.png,bug,flying,30,30,42,30,42,70
416,vespiquen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/416.png,bug,flying,70,80,102,80,102,40
417,pachirisu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/417.png,electric,,60,45,70,45,90,95
418,buizel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/418.png,water,,55,65,35,60,30,85
419,floatzel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/419.png,water,,85,105,55,85,50,115
420,cherubi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/420.png,grass,,45,35,45,62,53,35
421,cherrim,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/421.png,grass,,70,60,70,87,78,85
422,shellos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/422.png,water,,76,48,48,57,62,34
423,gastrodon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/423.png,water,ground,111,83,68,92,82,39
424,ambipom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/424.png,normal,,75,100,66,60,66,115
425,drifloon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/425.png,ghost,flying,90,50,34,60,44,70
426,drifblim,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/426.png,ghost,flying,150,80,44,90,54,80
427,buneary,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/427.png,normal,,55,66,44,44,56,85
428,lopunny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/428.png,normal,,65,76,84,54,96,105
429,mismagius,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/429.png,ghost,,60,60,60,105,105,105
430,honchkrow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/430.png,dark,flying,100,125,52,105,52,71
431,glameow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/431.png,normal,,49,55,42,42,37,85
432,purugly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/432.png,normal,,71,82,64,64,59,112
433,chingling,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/433.png,psychic,,45,30,50,65,50,45
434,stunky,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/434.png,poison,dark,63,63,47,41,41,74
435,skuntank,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/435.png,poison,dark,103,93,67,71,61,84
436,bronzor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/436.png,steel,psychic,57,24,86,24,86,23
437,bronzong,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/437.png,steel,psychic,67,89,116,79,116,33
