Nome,Type,Tipo de dano,Accuracy,Power,PP,Prioridade,Descrição p,Descrição c,Chance de efeito,Efeito,Chance de Crit,Drain,Flinch,Healing,Min attacks,Max attacks,Min Turns,Max Turns,Chance stat,Mudanca de stat,Qnt de Mudança de stat
triple-kick,fighting,physical,90.0,10.0,10.0,0,"Hits three times, increasing power by 100% with each successful hit.","Inflicts regular damage.  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate accuracy check, and this move stops if a hit misses.

skill link does not apply.",,none,0,0,0,0,3.0,3.0,,,0,[''],[0]
thief,dark,physical,100.0,60.0,25.0,0,Takes the target’s item.,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pokémon with sticky hold or multitype are immune to the item theft effect.

The target cannot recover its item with recycle.

This move cannot be selected by assist or metronome.",,none,0,0,0,0,,,,,0,[''],[0]
spider-web,bug,status,,,10.0,0,Prevents the target from leaving battle.,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",,none,0,0,0,0,,,,,0,[''],[0]
mind-reader,normal,status,,,5.0,0,Ensures that the user’s next move will hit the target.,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass.",,none,0,0,0,0,,,,,0,[''],[0]
nightmare,ghost,status,100.0,,15.0,0,Target loses 1/4 its max HP every turn as long as it’s asleep.,"Only works on sleeping Pokémon.  Gives the target a nightmare, damaging it for 1/4 its max HP every turn.  If the target wakes up or leaves the field, this effect ends.",,nightmare,0,0,0,0,,,,,0,[''],[0]
flame-wheel,fire,physical,100.0,60.0,25.0,0,Has a $effect_chance% chance to burn the target.  Lets frozen Pokémon thaw themselves.,"Inflicts regular damage.  Has a $effect_chance% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",10.0,burn,0,0,0,0,,,,,0,[''],[0]
snore,normal,special,100.0,50.0,15.0,0,Has a $effect_chance% chance to make the target flinch.  Only works if the user is sleeping.,Only usable if the user is sleeping.  Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,30.0,none,0,0,30,0,,,,,0,[''],[0]
curse,ghost,status,,,10.0,0,Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.,"If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn.
Otherwise: Lowers the user’s Speed by one stage, and raises its Attack and Defense by one stage each.

The curse effect is passed on by baton pass.

This move cannot be copied by mirror move.",,none,0,0,0,0,,,,,0,[''],[0]
flail,normal,physical,100.0,,15.0,0,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.","Inflicts regular damage.  Power varies inversely with the user’s proportional remaining HP.

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5                    |  150
 6–12                    |  100
13–21                    |   80
22–42                    |   40
43–64                    |   20
",,none,0,0,0,0,,,,,0,[''],[0]
conversion-2,normal,status,,,30.0,0,Changes the user’s type to a random type either resistant or immune to the last move used against it.,"Changes the user’s type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will fail.",,none,0,0,0,0,,,,,0,[''],[0]
aeroblast,flying,special,95.0,100.0,5.0,0,Has an increased chance for a critical hit.,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,,none,1,0,0,0,,,,,0,[''],[0]
cotton-spore,grass,status,100.0,,40.0,0,Lowers the target’s Speed by two stages.,Lowers the target’s Speed by two stages.,,none,0,0,0,0,,,,,0,['speed'],[-2]
reversal,fighting,physical,100.0,,15.0,0,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.","Inflicts regular damage.  Power varies inversely with the user’s proportional remaining HP.

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5                    |  150
 6–12                    |  100
13–21                    |   80
22–42                    |   40
43–64                    |   20
",,none,0,0,0,0,,,,,0,[''],[0]
spite,ghost,status,100.0,,10.0,0,Lowers the PP of the target’s last used move by 4.,"Lowers the PP of the target’s last used move by 4.  If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed, or if its last used move has 0 PP remaining, this move will fail.",,none,0,0,0,0,,,,,0,[''],[0]
powder-snow,ice,special,100.0,40.0,25.0,0,Has a $effect_chance% chance to freeze the target.,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,10.0,freeze,0,0,0,0,,,,,0,[''],[0]
protect,normal,status,,,10.0,4,Prevents any moves from hitting the user this turn.,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse’s curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move’s protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome.",,none,0,0,0,0,,,,,0,[''],[0]
mach-punch,fighting,physical,100.0,40.0,30.0,1,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
scary-face,normal,status,100.0,,10.0,0,Lowers the target’s Speed by two stages.,Lowers the target’s Speed by two stages.,,none,0,0,0,0,,,,,0,['speed'],[-2]
feint-attack,dark,physical,,60.0,20.0,0,Never misses.,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,,none,0,0,0,0,,,,,0,[''],[0]
sweet-kiss,fairy,status,75.0,,10.0,0,Confuses the target.,Confuses the target.,,confusion,0,0,0,0,,,2.0,5.0,0,[''],[0]
belly-drum,normal,status,,,10.0,0,User pays half its max HP to max out its Attack.,"User pays half its max HP to raise its Attack to +6 stages.  If the user cannot pay the HP cost, this move will fail.",,none,0,0,0,0,,,,,0,[''],[0]
sludge-bomb,poison,special,100.0,90.0,10.0,0,Has a $effect_chance% chance to poison the target.,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,30.0,poison,0,0,0,0,,,,,0,[''],[0]
mud-slap,ground,special,100.0,20.0,10.0,0,Has a $effect_chance% chance to lower the target’s accuracy by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s accuracy by one stage.,100.0,none,0,0,0,0,,,,,100,['accuracy'],[-1]
octazooka,water,special,85.0,65.0,10.0,0,Has a $effect_chance% chance to lower the target’s accuracy by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s accuracy by one stage.,50.0,none,0,0,0,0,,,,,50,['accuracy'],[-1]
spikes,ground,status,,,20.0,0,"Scatters Spikes, hurting opposing Pokémon that switch in.","Scatters spikes around the opposing field, which damage opposing Pokémon that enter the field for 1/8 of their max HP.  Pokémon immune to ground moves are immune to this damage, except during gravity.  Up to three layers of spikes may be laid down, adding 1/16 to the damage done: two layers of spikes damage for 3/16 max HP, and three layers damage for 1/4 max HP.

wonder guard does not block damage from this effect.

rapid spin removes this effect from its user’s side of the field.  defog removes this effect from its target’s side of the field.",,none,0,0,0,0,,,,,0,[''],[0]
zap-cannon,electric,special,50.0,120.0,5.0,0,Has a $effect_chance% chance to paralyze the target.,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,100.0,paralysis,0,0,0,0,,,,,0,[''],[0]
foresight,normal,status,,,40.0,0,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it’s a Ghost.",Resets the target’s evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.,,no-type-immunity,0,0,0,0,,,,,0,[''],[0]
destiny-bond,ghost,status,,,5.0,0,"If the user faints this turn, the target automatically will, too.","If the user faints before its next move, the Pokémon that fainted it will automatically faint.  End-of-turn damage is ignored.

This move cannot be selected by assist or metronome.",,none,0,0,0,0,,,,,0,[''],[0]
perish-song,normal,status,,,5.0,0,User and target both faint after three turns.,"Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one.  When a Pokémon’s counter reaches zero, that Pokémon faints.  A Pokémon that leaves the field will lose its counter; its replacement does not inherit the effect, and other Pokémon’s counters remain.

This effect is passed on by baton pass.

This move cannot be copied by mirror move.",,perish-song,0,0,0,0,,,4.0,4.0,0,[''],[0]
icy-wind,ice,special,95.0,55.0,15.0,0,Has a $effect_chance% chance to lower the target’s Speed by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Speed by one stage.,100.0,none,0,0,0,0,,,,,100,['speed'],[-1]
detect,fighting,status,,,5.0,4,Prevents any moves from hitting the user this turn.,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse’s curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move’s protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome.",,none,0,0,0,0,,,,,0,[''],[0]
bone-rush,ground,physical,90.0,25.0,10.0,0,Hits 2-5 times in one turn.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,none,0,0,0,0,2.0,5.0,,,0,[''],[0]
lock-on,normal,status,,,5.0,0,Ensures that the user’s next move will hit the target.,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass.",,none,0,0,0,0,,,,,0,[''],[0]
outrage,dragon,physical,100.0,120.0,10.0,0,"Hits every turn for 2-3 turns, then confuses the user.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",,none,0,0,0,0,,,,,0,[''],[0]
sandstorm,rock,status,,,10.0,0,Changes the weather to a sandstorm for five turns.,"Changes the weather to a sandstorm for five turns.  Pokémon that are not ground, rock, or steel take 1/16 their max HP at the end of every turn.  Every rock Pokémon’s original Special Defense is raised by 50% for the duration of this effect.

solar beam’s power is halved.

moonlight, morning sun, and synthesis only heal 1/4 the user’s max HP.",,none,0,0,0,0,,,,,0,[''],[0]
giga-drain,grass,special,100.0,75.0,10.0,0,Drains half the damage inflicted to heal the user.,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,,none,0,50,0,0,,,,,0,[''],[0]
endure,normal,status,,,10.0,4,Prevents the user’s HP from lowering below 1 this turn.,"The user’s HP cannot be lowered below 1 by any means for the remainder of this turn.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

This move cannot be selected by assist or metronome.",,none,0,0,0,0,,,,,0,[''],[0]
charm,fairy,status,100.0,,20.0,0,Lowers the target’s Attack by two stages.,Lowers the target’s Attack by two stages.,,none,0,0,0,0,,,,,0,['attack'],[-2]
rollout,rock,physical,90.0,30.0,20.0,0,"Power doubles every turn this move is used in succession after the first, resetting after five turns.","Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power.",,none,0,0,0,0,,,,,0,[''],[0]
false-swipe,normal,physical,100.0,40.0,40.0,0,Cannot lower the target’s HP below 1.,Inflicts regular damage.  Will not reduce the target’s HP below 1.,,none,0,0,0,0,,,,,0,[''],[0]
swagger,normal,status,85.0,,15.0,0,Raises the target’s Attack by two stages and confuses the target.,"Raises the target’s Attack by two stages, then confuses it.  If the target’s Attack cannot be raised by two stages, the confusion is not applied.",,confusion,0,0,0,0,,,2.0,5.0,0,['attack'],[2]
milk-drink,normal,status,,,5.0,0,Heals the user by half its max HP.,Heals the user for half its max HP.,,none,0,0,0,50,,,,,0,[''],[0]
spark,electric,physical,100.0,65.0,20.0,0,Has a $effect_chance% chance to paralyze the target.,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,30.0,paralysis,0,0,0,0,,,,,0,[''],[0]
fury-cutter,bug,physical,95.0,40.0,20.0,0,"Power doubles every turn this move is used in succession after the first, maxing out after five turns.","Inflicts regular damage.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the field, power resets.",,none,0,0,0,0,,,,,0,[''],[0]
steel-wing,steel,physical,90.0,70.0,25.0,0,Has a 10% chance to raise the user’s Defense by one stage.,Inflicts regular damage. Has a 10% chance to raise the user’s Defense one stage.,10.0,none,0,0,0,0,,,,,10,['defense'],[1]
mean-look,normal,status,,,5.0,0,Prevents the target from leaving battle.,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",,none,0,0,0,0,,,,,0,[''],[0]
attract,normal,status,100.0,,15.0,0,"Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.","Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the field, this effect ends.",,infatuation,0,0,0,0,,,,,0,[''],[0]
sleep-talk,normal,status,,,10.0,0,Randomly uses one of the user’s other three moves.  Only works if the user is sleeping.,"Only usable if the user is sleeping.  Randomly selects and uses one of the user’s other three moves.  Use of the selected move requires and costs 0 PP.

This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.

If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it’s forced to use this move again and pay another PP for the recharge turn.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",,none,0,0,0,0,,,,,0,[''],[0]
heal-bell,normal,status,,,5.0,0,Cures the entire party of major status effects.,Removes major status effects and confusion from every Pokémon in the user’s party.,,none,0,0,0,0,,,,,0,[''],[0]
return,normal,physical,100.0,,20.0,0,"Power increases with happiness, up to a maximum of 102.","Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",,none,0,0,0,0,,,,,0,[''],[0]
present,normal,physical,90.0,,15.0,0,Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,"Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts regular damage with 40 power  |    40%
Inflicts regular damage with 80 power  |    30%
Inflicts regular damage with 120 power |    10%
Heals the target for 1/4 its max HP    |    20%

On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP.",,none,0,0,0,0,,,,,0,[''],[0]
frustration,normal,physical,100.0,,20.0,0,"Power increases as happiness decreases, up to a maximum of 102.","Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",,none,0,0,0,0,,,,,0,[''],[0]
safeguard,normal,status,,,25.0,0,Protects the user’s field from major status ailments and confusion for five turns.,"Protects Pokémon on the user’s side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.

If yawn is used while this move is in effect, it will immediately fail.

defog used by an opponent will end this effect.

This effect does not prevent the confusion caused by outrage, petal dance, or thrash.",,none,0,0,0,0,,,,,0,[''],[0]
pain-split,normal,status,,,20.0,0,Sets the user’s and targets’s HP to the average of their current HP.,"Changes the user’s and target’s remaining HP to the average of their current remaining HP.  Ignores accuracy and evasion modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.

This effect fails against a substitute.",,none,0,0,0,0,,,,,0,[''],[0]
sacred-fire,fire,physical,95.0,100.0,5.0,0,Has a $effect_chance% chance to burn the target.  Lets frozen Pokémon thaw themselves.,"Inflicts regular damage.  Has a $effect_chance% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",50.0,burn,0,0,0,0,,,,,0,[''],[0]
magnitude,ground,physical,100.0,,30.0,0,Power varies randomly from 10 to 150.,"Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    50 |    20%
        7 |    70 |    30%
        8 |    90 |    20%
        9 |   110 |    10%
       10 |   150 |     5%

This move has double power against Pokémon currently underground due to dig.",,none,0,0,0,0,,,,,0,[''],[0]
dynamic-punch,fighting,physical,50.0,100.0,5.0,0,Has a $effect_chance% chance to confuse the target.,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,100.0,confusion,0,0,0,0,,,2.0,5.0,0,[''],[0]
megahorn,bug,physical,85.0,120.0,10.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
dragon-breath,dragon,special,100.0,60.0,20.0,0,Has a $effect_chance% chance to paralyze the target.,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,30.0,paralysis,0,0,0,0,,,,,0,[''],[0]
baton-pass,normal,status,,,40.0,0,Allows the trainer to switch out the user and pass effects along to its replacement.,"User switches out, and the trainer selects a replacement Pokémon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pokémon.

The following move effects are passed:

* aqua ring
* both the user’s and target’s effect of block, mean look, and spider web
* the curse effect of curse
* embargo
* focus energy or an activated lansat berry
* gastro acid
* ingrain
* being sapped by leech seed
* being targeted by lock on or mind reader
* magnet rise
* perish song’s counter
* power trick
* substitute; the doll’s HP is unchanged

The replacement Pokémon does not trigger effects that respond to Pokémon switching in.",,none,0,0,0,0,,,,,0,[''],[0]
encore,normal,status,100.0,,5.0,0,Forces the target to repeat its last used move every turn for 2 to 6 turns.,"The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.

If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target’s last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail.",,none,0,0,0,0,,,,,0,[''],[0]
pursuit,dark,physical,100.0,40.0,20.0,0,"Has double power against, and can hit, Pokémon attempting to switch out.","Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pokémon that switches out when it has a substitute up or when an ally has used follow me.",,none,0,0,0,0,,,,,0,[''],[0]
rapid-spin,normal,physical,100.0,50.0,40.0,0,"Frees the user from binding moves, removes Leech Seed, and blows away Spikes.","Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user’s side of the field.  If this move misses or has no effect, its effect doesn’t activate.",100.0,none,0,0,0,0,,,,,100,['speed'],[1]
sweet-scent,normal,status,100.0,,20.0,0,Lowers the target’s evasion by one stage.,Lowers the target’s evasion by one stage.,,none,0,0,0,0,,,,,0,['evasion'],[-2]
iron-tail,steel,physical,75.0,100.0,15.0,0,Has a $effect_chance% chance to lower the target’s Defense by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Defense by one stage.,30.0,none,0,0,0,0,,,,,30,['defense'],[-1]
metal-claw,steel,physical,95.0,50.0,35.0,0,Has a $effect_chance% chance to raise the user’s Attack by one stage.,Inflicts regular damage. Has a $effect_chance% chance to raise the user’s Attack one stage.,10.0,none,0,0,0,0,,,,,10,['attack'],[1]
vital-throw,fighting,physical,,70.0,10.0,-1,Never misses.,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,,none,0,0,0,0,,,,,0,[''],[0]
morning-sun,normal,status,,,5.0,0,Heals the user by half its max HP.  Affected by weather.,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",,none,0,0,0,50,,,,,0,[''],[0]
synthesis,grass,status,,,5.0,0,Heals the user by half its max HP.  Affected by weather.,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",,none,0,0,0,50,,,,,0,[''],[0]
moonlight,fairy,status,,,5.0,0,Heals the user by half its max HP.  Affected by weather.,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",,none,0,0,0,50,,,,,0,[''],[0]
hidden-power,normal,special,100.0,60.0,15.0,0,Power and type depend upon user’s IVs.  Power can range from 30 to 70.,"Inflicts regular damage.  Power and type are determined by the user’s IVs.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | fighting
    1 | flying
    2 | poison
    3 | ground
    4 | rock
    5 | bug
    6 | ghost
    7 | steel
    8 | fire
    9 | water
   10 | grass
   11 | electric
   12 | psychic
   13 | ice
   14 | dragon
   15 | dark

This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time.",,none,0,0,0,0,,,,,0,[''],[0]
cross-chop,fighting,physical,80.0,100.0,5.0,0,Has an increased chance for a critical hit.,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,,none,1,0,0,0,,,,,0,[''],[0]
twister,dragon,special,100.0,40.0,20.0,0,Has a $effect_chance% chance to make the target flinch.,"Inflicts regular damage.  Has a $effect_chance% chance to make each target flinch.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",20.0,none,0,0,20,0,,,,,0,[''],[0]
rain-dance,water,status,,,5.0,0,Changes the weather to rain for five turns.,"Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.

If the user is holding damp rock, this effect lasts for eight turns.

thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.

solar beam has half power.

moonlight, morning sun, and synthesis heal only 1/4 of the user’s max HP.

Pokémon with swift swim have doubled original Speed.

Pokémon with forecast become water.

Pokémon with dry skin heal 1/8 max HP, Pokémon with hydration are cured of major status effects, and Pokémon with rain dish heal 1/16 max HP at the end of each turn.",,none,0,0,0,0,,,,,0,[''],[0]
sunny-day,fire,status,,,5.0,0,Changes the weather to sunny for five turns.,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.

If the user is holding heat rock, this effect lasts for eight turns.

Pokémon cannot become frozen.

thunder has 50% accuracy.

solar beam skips its charge turn.

moonlight, morning sun, and synthesis heal 2/3 of the user’s max HP.

Pokémon with chlorophyll have doubled original Speed.

Pokémon with forecast become fire.

Pokémon with leaf guard are not affected by major status effects.

Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%.

Pokémon with dry skin lose 1/8 max HP at the end of each turn.

Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn.",,none,0,0,0,0,,,,,0,[''],[0]
crunch,dark,physical,100.0,80.0,15.0,0,Has a $effect_chance% chance to lower the target’s Defense by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Defense by one stage.,20.0,none,0,0,0,0,,,,,20,['defense'],[-1]
mirror-coat,psychic,special,100.0,,20.0,-5,Inflicts twice the damage the user received from the last special hit it took.,"Targets the last opposing Pokémon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",,none,0,0,0,0,,,,,0,[''],[0]
psych-up,normal,status,,,10.0,0,Discards the user’s stat changes and copies the target’s.,"Discards the user’s stat changes and copies the target’s.

This move cannot be copied by mirror move.",,none,0,0,0,0,,,,,0,[''],[0]
extreme-speed,normal,physical,100.0,80.0,5.0,2,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
ancient-power,rock,special,100.0,60.0,5.0,0,Has a $effect_chance% chance to raise all of the user’s stats by one stage.,Inflicts regular damage. Has a $effect_chance% chance to raise all of the user’s stats one stage.,10.0,none,0,0,0,0,,,,,10,"['attack', 'defense', 'special-attack', 'special-defense', 'speed']","[1, 1, 1, 1, 1]"
shadow-ball,ghost,special,100.0,80.0,15.0,0,Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,20.0,none,0,0,0,0,,,,,20,['special-defense'],[-1]
future-sight,psychic,special,100.0,120.0,10.0,0,Hits the target two turns later.,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won’t change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move.",,none,0,0,0,0,,,,,0,[''],[0]
rock-smash,fighting,physical,100.0,40.0,15.0,0,Has a $effect_chance% chance to lower the target’s Defense by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Defense by one stage.,50.0,none,0,0,0,0,,,,,50,['defense'],[-1]
whirlpool,water,special,85.0,35.0,15.0,0,Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

If the target is in the first turn of dive, this move will hit with double power.",100.0,trap,0,0,0,0,,,5.0,6.0,0,[''],[0]
